,No.,Material,PART NAME,Storage Bin,Location,TACT,Seq 1,Seq 2,Seq 3,Seq 4,Seq 5,Recount 1,Recount 2,Recount 3,Recount 4,Recount 5,Status,Verify By,Remark
,247,4M0880201AE6PS,AIRBAG UNIT,T13-101,B22,13 RHS,0,,,,,,,,,,Counted,,
,248,5H0864254A,AIRDUCT,GT13-10,B22,13 RHS,12,,,,,,,,,,Verified,AMMAR,
,249,5H0419089QLVDH,STEERINGWHEEL,GT13-62,B22,13 RHS,0,,,,,,,,,,Counted,,
,250,5H6867427M CA9,LUGGAGECOMP.SIDETRIM,GT13-64,B22,13 RHS,5,,,,,,,,,,Verified,Hazizie,
,251,5H0419089QTAGD,STEERINGWHEEL,GT13-67,B22,13 RHS,0,,,,,,,,,,Counted,,
,252,5H0821111,END PLATE,GT14-02,B22,14 LHS,0,,,,,,,,,,Counted,,
,253,9Y2864906A,PROTECTIVE LINING,T14-20,B22,14 LHS,0,,,,,,,,,,Counted,,
,254,5Q0129601CC,AIRFILTER/MUFFLERUNIT,GT14-57,B22,14 LHS,0,,,,,,,,,,Counted,,GR
,255,5H0821112,END PLATE,GT14-15,B22,14 RHS,0,,,,,,,,,,Counted,,
,256,5NA805615,TOWING EYE,GT14-28,B22,14 RHS,0,,,,,,,,,,Counted,,
,257,4D0012219A,LUG WRENCH,GT14-29,B22,14 RHS,0,,,,,,,,,,Counted,,
,258,5Q0011221,CRANK,GT14-30,B22,14 RHS,0,,,,,,,,,,Counted,,
,259,5WA129601,AIR FILTER/MUFFLER UNIT,GT14-31,B22,14 RHS,0,,,,,,,,,,Counted,,
,260,5H0012115D,TOOL KIT HOLDER,GT14-32,B22,14 RHS,0,,,,,,,,,,Counted,,
,261,5WA011031B,JACK,GT14-33,B22,14 RHS,0,,,,,,,,,,Counted,,
,262,5H0012115C,TOOL KIT HOLDER,GT14-34,B22,14 RHS,0,,,,,,,,,,Counted,,
,263,6C0035621A,SUBWOOFER,GT14-35,B22,14 RHS,0,,,,,,,,,,Counted,,
,264,6X0012243,PULLER,GT14-37,B22,14 RHS,0,,,,,,,,,,Counted,,
,265,5Q0129954F,COVER,GT14-38,B22,14 RHS,0,,,,,,,,,,Counted,,
,266,5H6867707 4PK,LINING,GT14-39,B22,14 RHS,0,,,,,,,,,,Counted,,
,267,5H6867601B 4PK,"LINING,TRUNK LID",GT14-40,B22,14 RHS,0,0,,,,,,,,,Counted,,
,268,5H0012021R,TOOL KIT,GT14-41,B22,14 RHS,0,,,,,,,,,,Counted,,
,269,4M0133849T,"COVER,AIR CLEANER",T14-31,B22,14 RHS,0,,,,,,,,,,Counted,,
,270,4M0867839D 2O9,LINING,T14-33,B22,14 RHS,0,,,,,,,,,,Counted,,
,271,4M0867607F 4PK,"LINING,TRUNK LID",T14-34,B22,14 RHS,0,,,,,,,,,,Counted,,
,272,4M0867608F 4PK,"LINING,TRUNK LID",T14-35,B22,14 RHS,0,,,,,,,,,,Counted,,
,273,4M0867606J 4PK,"LINING,TRUNK LID",T14-37,B22,14 RHS,0,,,,,,,,,,Counted,,
,274,4M0867974 4PK,"LINING,TRUNK LID",T14-41,B22,14 RHS,0,,,,,,,,,,Counted,,
,275,4M0035621L,SUBWOOFER,T14-46,B22,14 RHS,0,,,,,,,,,,Counted,,
,276,4M0012021BR,TOOL KIT,T14-50,B22,14 RHS,0,,,,,,,,,,Counted,,
,277,4M0012021BG,TOOL KIT,T14-51,B22,14 RHS,0,,,,,,,,,,Counted,,
,278,4M0863462Q QA5,LUGGAGE COMPARTM FLOORB COVERING,T14-52,B22,14 RHS,0,,,,,,,,,,Counted,,
,279,4M8955405K,WIPER LEVER,T14-55,B22,14 RHS,0,,,,,,,,,,Counted,,
,280,4M8955406G,WIPER LEVER,T14-56,B22,14 RHS,0,,,,,,,,,,Counted,,
,281,000860289C,SMALL PARTS BAG,GT15-02,B22,15 LHS,0,,,,,,,,,,Counted,,
,282,1K0601173 9B9,"CAP,WHEEL BOLT",GT15-03,B22,15 LHS,0,,,,,,,,,,Counted,,
,283,1K0601173 9B9,"CAP,WHEEL BOLT",GT15-03,B22,15 LHS,0,,,,,,,,,,Counted,,
,284,5H0601171 FOD,COVER,GT15-05,B22,15 LHS,0,,,,,,,,,,Counted,,
,285,5G2863011F IFD,LUGGAGE COMPARTM. MAT,GT15-06,B22,15 LHS,0,,,,,,,,,,Counted,,
,286,8Y0012007,BAG,T15-22,B22,15 LHS,0,,,,,,,,,,Counted,,
,287,4M2863011D JTV,LUGGAGE COMPARTM.,T15-1,B22,15 LHS,0,,,,,,,,,,Counted,,
,288,5H2863012C IFA,LUGGAGECOMPARTM.MAT,GT15-12,B22,15 LHS,0,,,,,,,,,,Counted,,
,289,5H0959893 AUD,CAP,GT15-14,B22,15 LHS,0,,,,,,,,,,Counted,,
,290,5H2863011D IFG,LUGGAGECOMPARTM.MAT,GT15-13,B22,15 LHS,0,,,,,,,,,,Counted,,
,291,5H6863459B 4PK,"COVER,LOCK CARRIER",GT15-07,B22,15 RHS,0,,,,,,,,,,Counted,,
,292,5H6867769A CA9,TRUNK LID,GT15-08,B22,15 RHS,0,,,,,,,,,,Counted,,
,293,4M0863553E 94H,COVER,T15-11,B22,15 RHS,7,,,,,,,,,,Counted,,
,294,4M0864483P 4PK,"LINING, REAR END",T15-12,B22,15 RHS,0,,,,,,,,,,Counted,,
,295,4M0864043A,INSULATION,M100-17,B22,M100,0,,,,,,,,,,Counted,,
,296,5H2863933C,DAMPING,GT1-34,B22,T0,0,,,,,,,,,,Counted,,
,297,5H0601025H FZZ,ALLOY WHEEL,GWH-06,B22,WHEEL,0,,,,,,,,,,Counted,,
,298,5H0601025APFZZ,ALLOY WHEEL,GWH-11,B22,WHEEL,0,,,,,,,,,,Counted,,
,299,5H0601025S FZZ,ALLOYWHEEL,GWH-10,B22,WHEEL,0,,,,,,,,,,Counted,,
,304,4M0854819H S9R,WHEEL TRIM,T14-23,B22,10 LHS,0,,,,,,,,,,Counted,,
,305,4M0854819H Y9T,WHEEL TRIM,T14-23,B22,10 LHS,0,,,,,,,,,,Counted,,
,306,4M0854819H J5L,WHEEL TRIM,T14-23,B22,10 LHS,0,,,,,,,,,,Counted,,
,307,4M0854819H Z7S,WHEEL TRIM,T14-23,B22,10 LHS,0,,,,,,,,,,Counted,,
,308,4M0854820H S9R,WHEEL TRIM,T14-25,B22,10 LHS,0,,,,,,,,,,Counted,,
,309,4M0854820H Y9T,WHEEL TRIM,T14-25,B22,10 LHS,0,,,,,,,,,,Counted,,
,310,4M0854820H J5L,WHEEL TRIM,T14-25,B22,10 LHS,0,,,,,,,,,,Counted,,
,311,4M0854820H Z7S,WHEEL TRIM,T14-25,B22,10 LHS,0,,,,,,,,,,Counted,,
,312,4M0853025J S9R,WHEEL TRIM,T10-37,B22,10 LHS,0,,,,,,,,,,Counted,,
,313,4M0853025J Y9T,WHEEL TRIM,T10-37,B22,10 LHS,0,,,,,,,,,,Counted,,
,314,4M0853025J J5L,WHEEL TRIM,T10-37,B22,10 LHS,0,,,,,,,,,,Counted,,
,315,4M0853025J Z7S,WHEEL TRIM,T10-37,B22,10 LHS,0,,,,,,,,,,Counted,,
,316,4M0853026J S9R,WHEEL TRIM,T10-73,B22,10 LHS,0,,,,,,,,,,Counted,,
,317,4M0853026J Y9T,WHEEL TRIM,T10-73,B22,10 LHS,0,,,,,,,,,,Counted,,
,318,4M0853026J J5L,WHEEL TRIM,T10-73,B22,10 LHS,0,,,,,,,,,,Counted,,
,319,4M0853026J Z7S,WHEEL TRIM,T10-73,B22,10 LHS,0,,,,,,,,,,Counted,,
,321,5G2955405D 03C,WIPER LEVER,GT14-43,B22,14 LHS,0,,,,,,,,,,Counted,,
,322,5G2955406F 03C,WIPER LEVER,GT14-44,B22,14 LHS,0,,,,,,,,,,Counted,,
,324,3C06011739B9,"CAP,WHEELBOLT",GT15-01,B22,15 LHS,0,,,,,,,,,,Counted,,
